type,count
LTe49b,3
LTe49c,3
LTe63,3
LTe65,3
LatB,3
Li20,3
MC65,3
MTe11,3
MTe12,3
Sm28,3
Sm35,3
Sm36,3
Sm43,3
aMe26,3
cL02b,3
cL02c,3
cL18,3
cLLPM01,3
cM03,3
cM04,3
cM08a,3
cM08c,3
CB2216,2
CB3089,2
CB3790,2
DN1a,2
LC10f,2
LC44,2
LPi14,2
LT43,2
LT63,2
LT64,2
LT68,2
LT73,2
LT80,2
LTe02,2
LTe03,2
LTe37,2
LTe38b,2
LTe47,2
LTe49a,2
LTe49e,2
LTe50,2
LTe54,2
LTe67,2
Li19,2
Li25,2
Li27,2
Li28,2
MTe13,2
MTe14,2
MTe15,2
MTe16,2
MTe17,2
MTe18,2
Nod1,2
OA-AL2i2,2
OA-AL2i3,2
PLP174,2
PLP231,2
PLP241,2
Pm12,2
Pm13,2
Pm14,2
Sm33,2
Sm38,2
Sm40,2
VST1,2
VSm,2
aMe1,2
aMe12,2
aMe17b,2
aMe17c,2
aMe8,2
cL04,2
cL21,2
cLLP02,2
cM08b,2
cM09,2
cM11,2
mALC6,2
s-CPDN3A,2
s-LNv,2
5-HTPMPV01,1
5th-LNv,1
AN_multi_124,1
AVLP151,1
Am1,1
CB0230,1
CB0802,1
CB2197,1
CB2580,1
CB2685,1
CB2848,1
CB3235,1
CB3238,1
CB3833,1
CB3866,1
CT1,1
DCH,1
DGI,1
DN1-l,1
DNc02,1
DNp11,1
DNpe053,1
H2,1
HBeyelet,1
HSE,1
HSN,1
HSS,1
LAL047,1
LC31c,1
LCe08,1
LNd_CRY+_ITP+,1
LPT04_HST,1
LPT21,1
LPT22,1
LPT26,1
LPT27,1
LPT28,1
LPT29,1
LPT30,1
LPT42_Nod4,1
LPT47_vCal2,1
LPT48_vCal3,1
LPT49,1
LPT51,1
LPT52,1
LPT53,1
LPT54,1
LPT58,1
LPi12,1
LPi13,1
LPi15,1
LT11,1
LT1a,1
LT1b,1
LT1c,1
LT1d,1
LT33,1
LT34,1
LT36,1
LT37,1
LT39,1
LT40,1
LT41,1
LT42,1
LT47,1
LT56,1
LT58,1
LT59,1
LT60,1
LT61a,1
LT61b,1
LT62,1
LT65,1
LT67,1
LT69,1
LT72,1
LT75,1
LT76,1
LT79,1
LT83,1
LT84,1
LT85,1
LT86,1
LT87,1
LTe04,1
LTe05,1
LTe06,1
LTe07,1
LTe08,1
LTe10,1
LTe11,1
LTe12,1
LTe13,1
LTe14,1
LTe15,1
LTe16,1
LTe17,1
LTe18,1
LTe19,1
LTe20,1
LTe21,1
LTe22,1
LTe23,1
LTe24,1
LTe25,1
LTe26,1
LTe27,1
LTe28,1
LTe29,1
LTe30,1
LTe31,1
LTe35,1
LTe36,1
LTe40,1
LTe41,1
LTe42a,1
LTe42b,1
LTe42c,1
LTe44,1
LTe45,1
LTe46,1
LTe48,1
LTe49d,1
LTe49f,1
LTe51,1
LTe53,1
LTe55,1
LTe56,1
LTe57,1
LTe59a,1
LTe59b,1
LTe60,1
LTe61,1
LTe62,1
LTe69,1
LTe70,1
LTe72,1
LTe73,1
LTe74,1
LTe75,1
LTe76,1
Lat,1
Li23,1
Li29,1
Li30,1
Li31,1
Li32,1
Li33,1
MTe19,1
MTe20,1
MTe21,1
MTe22,1
MTe23,1
MTe24,1
MTe25,1
MTe26,1
MTe27,1
MTe28,1
MTe29,1
MTe30,1
MTe31,1
MTe32,1
MTe33,1
MTe34,1
MTe35,1
MTe36,1
MTe37,1
MTe38,1
MTe39,1
MTe40,1
MTe41,1
MTe42,1
MTe43,1
MTe44,1
MTe45,1
MTe48,1
MTe49,1
MeTu4_unknown,1
Nod2,1
Nod3,1
Nod5,1
OA-AL2i1,1
OA-AL2i4,1
OLVC7,1
PLP004,1
PLP021,1
PLP032,1
PLP051,1
PLP068,1
PLP069,1
PLP155,1
PLP177,1
PLP185,1
PLP215,1
PLP217,1
PLP248,1
PLP251,1
SIP017,1
Sm37,1
Sm39,1
Sm41,1
Sm42,1
VCH,1
VS1,1
VS2,1
VS3,1
VS4,1
VS5,1
VS6,1
VS7,1
VS8,1
aMe15,1
aMe17a1,1
aMe17a2,1
aMe20,1
aMe22,1
aMe24,1
aMe25,1
aMe3,1
aMe6a,1
aMe6c,1
cL05,1
cL06,1
cL07,1
cL08,1
cL09,1
cL10,1
cL11,1
cL12,1
cL13,1
cL14,1
cL15,1
cL16,1
cL20,1
cL22a,1
cL22b,1
cL22c,1
cLLPM02,1
cLM01,1
cLP04,1
cLP05,1
cLPL01,1
cM01a,1
cM01b,1
cM01c,1
cM02a,1
cM02b,1
cM05,1
cM06,1
cM07,1
cM10,1
cM12,1
cM13,1
cM14,1
cM15,1
cM16,1
cM17,1
cM18,1
cM19,1
cML01,1
cML02,1
cMLLP01,1
cMLLP02,1
l-CPDN3,1
mALB5,1
mALC3,1
mALC4,1
mALC5,1
mALD1,1
mALD2,1
vCal1,1
